i,x,y,z,rho
0,-1.94992852,1.34478719,-2.10276029,0.99275846
1,1.23509794,1.23612707,2.14625983,0.93546065
2,-0.50992764,0.31359274,0.48637709,1.25114587
3,2.19889899,-1.82548223,3.69410112,0.99607839
4,-1.52828852,-0.86423378,1.02730987,1.11797917
5,0.99896488,-0.03306425,2.33465800,0.78726040
6,1.68664267,-1.75840452,3.25588148,0.90573873
7,1.11205109,0.80798313,2.50700664,1.04715823
8,2.49232856,-1.33404776,4.32628202,1.18022383
9,1.45956026,0.24650355,2.77306373,1.00646157
10,-0.68677669,0.11850916,1.18461480,0.81873561
11,-0.64407687,1.64211911,-1.50119582,1.17095660
12,0.69929627,1.96614943,0.68698019,1.24139421
13,0.83281682,-1.78773132,2.73434368,1.00184244
14,-1.18041266,-0.60342651,1.07411031,1.17805775
15,1.51269205,-0.11758573,2.85734057,1.16228895
16,2.03563905,-1.33001776,3.91493880,1.09005194
17,1.17064580,-1.25554206,3.23484757,1.18889525
18,-1.63937706,0.21667273,0.20975473,1.04817171
19,1.62550410,0.23545780,3.18594358,0.93342616
20,-0.31751540,0.28365314,0.87680255,1.33779184
21,-1.63526858,1.07236542,-1.34749030,0.98534299
22,-1.90840724,-1.60609229,2.42844884,0.99500258
23,1.09785274,1.12684967,2.12507249,0.96951295
24,2.00509204,-1.58139257,3.81502989,1.00041675
25,1.61694441,0.21632299,3.37163656,0.92827211
26,0.26497307,0.33610332,1.23732883,0.93733768
27,2.00149580,-0.49227991,3.67618437,0.89107920
28,2.46129766,1.46902847,4.91843301,1.00216043
29,-0.41714880,1.20052876,-0.57190837,1.29263662
30,-1.51421163,-1.96165433,2.86764095,0.71177553
31,2.10917672,1.72634980,3.91491324,1.10847968
32,0.19571692,-1.26351635,2.46899947,0.96682325
33,2.42395173,-1.72301313,4.47140091,1.34591170
34,1.31612589,0.54272492,2.51870984,1.11933647
35,-1.80006314,-1.61360717,2.14134675,0.73455361
36,1.71324483,1.01280997,2.96967285,0.80187613
37,0.82138562,-0.86380602,2.34288358,1.34369310
38,0.13711364,-0.39013371,1.84112745,1.27020659
39,1.01276486,1.54664010,1.04461628,0.83403783
40,0.74546438,-1.44029126,2.78190045,1.29666868
41,0.30359424,-0.59571304,1.81594668,1.01966922
42,0.09997923,-0.19375303,1.53799790,1.29339438
43,-1.59745030,-0.36751454,1.01601868,0.98205337
44,-1.67373285,-1.96325539,2.78599195,1.18705635
45,2.04155964,-0.70264053,4.20299979,1.22911795
46,0.36644462,-0.75411049,1.85931411,0.92274868
47,1.63266300,-0.04135107,3.17230013,1.38068712
48,1.52066251,1.01939628,2.40852611,0.71829425
49,0.94644797,1.80534818,1.03305381,1.05903802
50,0.73526475,0.49995747,1.65985340,0.75562520
51,1.16756955,0.34569425,2.49447905,1.22959329
52,-0.25393133,-1.58838050,2.27839131,1.24119657
53,2.41249764,-0.69356576,4.84592498,1.25300526
54,0.30824590,0.89674965,1.08848693,0.88780499
55,1.33692741,-1.11394257,2.91671577,0.71620628
56,2.48910032,-1.49696509,4.43217476,1.36489968
57,-0.72980117,-0.81550828,1.37054984,0.70698036
58,-0.11065236,0.14516669,0.91641070,1.13675735
59,-0.06772816,1.04278365,0.42325452,1.07321535
60,-1.23077775,0.42945453,0.22234651,0.80778764
61,0.73616445,-1.26380263,2.67235663,0.92314199
62,-0.11070901,0.64989340,0.64354181,0.90259107
63,1.90794098,1.39342965,3.15355934,0.74896393
64,-0.12204550,-0.25042265,1.18732949,1.26538374
65,-1.54468988,-1.93697791,2.53712104,1.22481440
66,-0.31679689,1.14778660,-0.75301260,1.39190078
67,-0.64234924,-1.04745418,1.76800969,0.91532899
68,-1.41447199,-0.38971443,0.82271379,0.70594801
69,0.98077030,0.33202078,2.54026869,1.06190257
70,-0.51886987,0.26082539,0.50440183,1.21967510
71,1.16915891,0.75040385,1.83559104,0.95091788
72,-1.30845987,1.42246163,-1.56031111,1.33402026
73,1.83648040,-1.25673005,3.60510173,0.97884473
74,1.35703829,0.03955626,2.87647552,1.27827132
75,-1.25967259,0.84306197,-0.94595291,1.14054831
76,-1.31470828,-1.84855683,2.39709710,1.13043796
77,2.01912935,0.60654932,3.42675869,0.84540025
78,-1.12937755,-0.59783696,1.23015670,1.23207459
79,-1.51296797,1.59016533,-2.05810166,1.35806826
80,-0.40928111,-0.43004816,0.75398091,1.26205019
81,2.42277329,0.59283319,4.82704327,1.03470993
82,2.07891084,-0.02114480,4.26601075,1.12010036
83,-1.76727425,-0.21931916,0.86329228,1.06320431
84,-1.94181408,-1.59491483,2.54852653,1.07297567
85,-0.68645098,-1.63345213,1.98932167,1.09585555
86,-1.99340978,-1.19306535,1.76740001,0.90044511
87,-0.64844861,-1.03944857,1.78500025,1.14117051
88,2.05928101,-1.47060338,4.13912961,1.30990596
89,-0.55095267,-1.80252434,2.85615570,0.98775018
